Route ID;Step ID;Town A;Town B;Distance;Driver name
123507;2;BEYCHAC ET CAILLAU;LATRESNE;13.617;Laura NAVARRO
107421;6;MARIGNIER;FAUCIGNY;9.953;Eva WEBER
39435;18;ECLANCE;ROLAMPONT;63.44;Evgeniy SMITH
42199;18;CAUBON ST SAUVEUR;VAUSSEROUX;219.856;Tatiana RODRIGUEZ
116783;2;GIRAUVOISIN;BITSCHWILLER LES THANN;152.254;Anna KUZNETSOVA
70439;5;BAULOU;MONTFA;22.601;Yvan NIELSEN
219532;19;ROCHEFORT;SOUBISE;4.381;Andreas SCHÄFER
239267;1;CAMOU CIHIGUE;OSSAS SUHARE;2.519;Angela JOHANSSON
4040;15;ST PRIEST DES CHAMPS;ESPINASSE;7.595;Valentyna SCHMID
38135;9;SCORBE CLAIRVAUX;CHABOURNAY;14.549;Anton VASILEVA
185738;5;PELUSSIN;ST SAUVEUR EN RUE;20.946;Petra HERNANDEZ
299737;22;ST GERMAIN DE JOUX;COTEAUX DU LIZON;25.902;Aleksandr DIAZ
244408;22;ST LEON;ANZEX;5.534;Aleksandra JIMENEZ
248472;32;GUEURES;LONGUEIL;4.505;Ivan RICHTER
17403;12;ROUILLE;PAMPROUX;5.444;Olha GOMEZ
16201;12;ST ANDRE DE CUBZAC;BELIN BELIET;63.119;Claude SCHMIDT
181900;19;MONTJOIE ST MARTIN;HAMELIN;5.227;Dmitriy MORENO
134366;20;CELLE;CHOUE;21.133;Sergey NAGY
79111;14;VIRARGUES;ST ETIENNE LA GENESTE;55.995;Mikhail IVANOV
279608;28;BARGEMON;MONS;15.273;Roman ZIMMERMANN
42158;35;ST SIMEON;SELLES;2.791;Valentyna POPOVA
240131;19;CAMIRAN;TALENCE;45.589;Robert ROBERTS
280904;17;PEINTRE;VILLETTE LES DOLE;17.093;Tatyana WAGNER
298451;30;GENERAC;MAZION;4.683;Wolfgang MORENO
116436;9;MONTAURIOL;TORDERES;3.076;Mariya PAVLOVA
118478;24;BRIAUCOURT;KEMBS;95.1;Irina JONES
137964;8;LE PLESSIS ROBINSON;JOUY EN JOSAS;7.237;Robert BROWN
296699;8;LE MEIX TIERCELIN;DAMPIERRE;10.087;Juan WOLF
25275;6;LA PENNE;PUGET THENIERS;4.184;Andrei HERNANDEZ
208513;5;LASSERRE;MONCRABEAU;4.009;Anton SANTOS
286039;29;IZAUX;LORTET;2.078;Vasylyi SANTOS
58154;17;ST JEAN DE BLAIGNAC;BELLEFOND;5.749;Hans GOMEZ
247007;20;GERM;GOUAUX DE LARBOUST;3.006;Mario WOLF
192285;3;CHERBOURG EN COTENTIN;SAUSSEMESNIL;11.515;Wolfgang MUÑOZ
240365;4;LE MOUTARET;ST ANTOINE L ABBAYE;73.351;Andrey THOMAS
110905;21;EPIERRE;ARGENTINE;4.163;Andreas COSTA
229137;15;VIEUX FERRETTE;HEIDWILLER;17.362;Valentyna MAGOMEDOV
53503;9;PUY ST PIERRE;ST JEAN D ARVES;39.679;Marie PEREZ
157191;14;BRENAS;OCTON;3.867;Daniel PEREZ
108455;35;ST MARTIN DE PALLIERES;BRUE AURIAC;6.51;David JOHANSSON
230035;15;ST ETIENNE DES CHAMPS;LA VILLENEUVE;15.498;Natalya MARIN
240384;24;ST LOUP TERRIER;PUISEUX;5.958;Klaus NAGY
53342;11;VILLEPINTE;CARLIPA;3.543;Francisco JOHNSON
232535;9;USCLAS D HERAULT;NIZAS;4.092;Jose NAVARRO
106368;23;RAISSAC D AUDE;OUPIA;10.629;Juan WEBER
102280;17;IZEAUX;VOUREY;7.766;Denis NOVIKOVA
291130;5;FONTENILLE ST MARTIN ENTRAIGUES;ST ROMANS DES CHAMPS;19.465;Elena SCHULZ
47295;4;VAL BUECH MEOUGE;LEZAN;143.932;Vasylyi IVANOV
167274;14;ST MICHEL;MERIGNAC;15.493;Vera PETROV
210811;24;LA CLISSE;NIEUL LES SAINTES;2.547;Mária WILSON
40691;9;ST VINCENT DU PENDIT;BELMONT BRETENOUX;6.35;Elisabeth BROWN
200225;21;ACY ROMANCE;SAULT LES RETHEL;2.203;Mariya HOFFMANN
178769;42;SOUILLY;LAIX;58.507;Roman WEBER
89348;5;QUINTAL;CHILLY;20.285;Christine PETROV
102149;17;FAY LES ETANGS;BEZONS;40.876;Igor BONDARENKO
276854;1;VARS;VENDAYS MONTALIVET;620.75;Peter JONES
164115;25;STE COLOMBE SUR GAND;ST PRIEST LA PRUGNE;42.806;Roman NIELSEN
4896;33;BERNECOURT;SEICHEPREY;3.873;Valentyna SMIRNOVA
279092;3;HINSBOURG;ST JEAN SAVERNE;14.372;Mikhail DAVIES
213192;32;MONTREVERD;LES BROUZILS;7.702;Martin DAVIES
252194;34;SALLES MONGISCARD;SALIES DE BEARN;6.628;Anna VASILEVA
191057;17;CANAULES ET ARGENTIERES;EUZET;18.327;Brigitte TAYLOR
292206;22;TERMES D ARMAGNAC;ITXASSOU;119.444;Antonio PEREIRA
151290;12;GUERFAND;STE MARIE LA BLANCHE;23.767;Antonio HANSEN
245060;4;LE BOUCHAGE;CHATONNAY;31.734;Nikolay TAYLOR
60451;26;BLAMONT;CIREY SUR VEZOUZE;7.547;Marta FERREIRA
80900;12;CHATENAY;LA BUISSE;30.871;Jan VASILEVA
81834;4;BOUZANVILLE;OELLEVILLE;7.487;Francisco SCHMID
174572;8;ARTEMARE;TALISSIEU;2.456;Sergey NAGY
39059;25;JUJOLS;RAILLEU;10.385;Sandra KOVÁCS
63253;3;URBANYA;CATLLAR;10.046;Vasylyi ROMERO
54277;32;LEZ FONTAINE;BOUSIGNIES SUR ROC;13.461;Andrey ANDERSSON
4170;10;ROQUESSELS;CARLENCAS ET LEVAS;8.859;Maryia JENSEN
91362;20;POUSTHOMY;ST MARTIN DE L ARCON;43.671;Sergey DIAZ
66753;6;ESSOUVERT;ARCHINGEAY;16.194;Olga NOVIKOVA
171108;11;SOUTERNON;EPERCIEUX ST PAUL;19.233;Antonio GONZALEZ
140433;23;CORNILLON EN TRIEVES;CAVAILLON;121.857;Nadezhda SOKOLOVA
119054;11;RODEREN;ST MAURICE SUR MOSELLE;18.872;Nadezhda ROBERTS
253146;20;TALIZAT;ST JUST PRES BRIOUDE;24.959;Svetlana SIMON
154416;19;VAUDESINCOURT;GRATREUIL;22.66;Angela JOHANSSON
250171;12;TORCE;DENAZE;35.148;Patrick GOMEZ
156319;8;LA TUILIERE;ST VICTOR MONTVIANEIX;15.756;Elena EVANS
148923;10;GAPENNES;EPAGNE EPAGNETTE;12.798;Andrey JOHANSSON
250528;8;MONTADY;MAUREILHAN;2.735;Robert THOMAS
207426;20;FENERY;BOUSSAIS;16.707;Marie KOCH
254006;21;BESSAY;THIRE;12.445;Peter RUIZ
164320;16;BOUQUETOT;LA TRINITE DE THOUBERVILLE;7.901;Mariya MILLER
225203;3;ETALONDES;PONTS ET MARAIS;3.931;Aleksey PETROVA
63747;1;CARLY;WIDEHEM;8.674;David BONDARENKO
63374;31;BOINVILLIERS;LA QUEUE LES YVELINES;15.237;Karin TÓTH
264739;18;LA CHARITE SUR LOIRE;ST LAURENT L ABBAYE;17.34;Karin WEBER
81613;4;MUNSTER;BLANCHE EGLISE;20.672;John NOVIKOVA
194259;9;ST BONNET LES ALLIER;ESTANDEUIL;16.124;Sandra WILSON
119165;11;MAZEROLLES DU RAZES;SEIGNALENS;9.031;Alina RICHTER
289963;11;SERRIERES;BEAUJEU;18.202;Olga DIAZ
94547;27;RICHTOLSHEIM;GRUSSENHEIM;12.018;Andreas KOVALENKO
38754;28;ANNOISIN CHATELANS;ST SORLIN DE MORESTEL;20.041;Aleksandr SMITH
145289;26;BEAUMONT LA FERRIERE;ROGNY LES SEPT ECLUSES;66.98;Michael RUIZ
131901;4;PIGNANS;GONFARON;4.591;Nadezhda SHEVCHENKO
63053;39;CANET;ST BAUZILLE DE LA SYLVE;6.232;Manfred HERNANDEZ
85122;9;SUSSARGUES;PARIGNARGUES;25.076;Francesco IVANOVA
290428;22;FLERE LA RIVIERE;BUZANCAIS;27.159;Olga KRAVCHENKO
149031;21;NUAILLE SUR BOUTONNE;VILLENEUVE LA COMTESSE;10.751;Evgeniy SCHMIDT
213967;19;SAMMERON;SUIZY LE FRANC;47.771;Dmitriy POPOVA
52870;27;STE RADEGONDE DES NOYERS;PUYRAVAULT;1.877;Christian FERNANDEZ
12611;23;ETERPIGNY;LECLUSE;4.249;Francesco MARTIN
3985;1;JANS;SION LES MINES;11.813;Klaus RICHTER
45707;17;COUSSAN;AUBAREDE;4.621;John WILSON
213089;25;BEDOIN;REILHANETTE;14.11;Olha JOHANSSON
200615;23;BALIZAC;GISCOS;33.421;Tomasz TAYLOR
226175;13;LEPIN LE LAC;LA BAUCHE;6.242;Darya MARIN
224933;11;EMANVILLE;BOIS GUILLAUME;19.938;Andrea SMIRNOVA
221340;13;MEYSSAC;MARCILLAC LA CROZE;4.611;John PAVLOVA
266234;18;EYZIN PINET;LA CHAPELLE SOUS DUN;102.939;Karin POPOVA
92277;1;FONTES;ILE D OUESSANT;853.153;Olha KUZNETSOVA
110510;13;LUCY LE BOIS;VIERZON;141.209;Olga WILLIAMS
64373;17;LA NOE POULAIN;ST SIMEON;1.625;Vera HUBER
17853;1;MOISENAY;LISSY;6.662;Oksana LOPEZ
106844;28;CLUSSAIS LA POMMERAIE;ST COUTANT;4.529;Marta COSTA
37767;25;GRESSE EN VERCORS;ST JACQUES EN VALGODEMARD;44.7;Jan RUIZ
25987;21;CASTAGNEDE;ORAAS;2.33;Rosa MARTIN
32151;4;DURBAN;ESTRAMIAC;40.069;Yvan SANTOS
35492;11;PAREY SOUS MONTFORT;OFFROICOURT;7.111;Robert SMIRNOV
34808;20;MAILHAC;AIGUES VIVES;4.53;Richard DIAZ
17032;9;WITRY LES REIMS;NOGENT L ABBESSE;6.635;Barbara POPOVA
102231;14;TREVILLE;VERDUN EN LAURAGAIS;10.178;Mária WAGNER
239103;25;MUSSIDAN;ST CHRISTOLY DE BLAYE;68.842;Anna GARCIA
152130;4;ST BRIAC SUR MER;ST JACUT DE LA MER;5.384;Francisco BAUER
138487;5;ENTRE DEUX GUIERS;ST LAURENT DU PONT;4.307;Eva BAUER
118555;14;ST PIERRE SUR ERVE;CHEMERE LE ROI;4.995;Irina SOKOLOVA
107811;9;ST BRICE SOUS RANES;LE MENIL SCELLEUR;8.839;Ekaterina HERNANDEZ
262538;13;MARQUAY;ARCHIGNAC;15.274;Valentyna KOCH
188765;7;CALLAS;FAYENCE;9.811;Mario JONES
70901;6;LATRESNE;TABANAC;10.219;Karin MEIER
266679;16;ST CHRISTOPHE SUR ROC;LINAZAY;53.105;Rosa KOVÁCS
234522;2;BORDEAUX ST CLAIR;FROBERVILLE;6.949;Andrei JOHANSSON
250958;17;NORROY LE VENEUR;BRONVAUX;2.549;Aleksandr IVANOV
61629;7;LA ROSIERE;BUSSIERES;79.04;Sergey ROBERTS
69345;14;VALZERGUES;GRUISSAN;170.701;Marta RAMOS
21046;3;ST PIERRE AZIF;TOURGEVILLE;4.246;Tatiana ROBERTS
22507;38;ST CHAMARAND;LAMOTHE CASSEL;9.064;Sergey KLEIN
63737;4;LUSSANT;TORXE;14.436;Giovanni VOLKOVA
254879;33;CORBIE;DOMPIERRE SUR AUTHIE;58.502;Roman MARTIN
196537;16;RONCHERES;FOSSOY;13.515;Nykolai VASILEVA
60309;28;FEISSONS SUR SALINS;LES GETS;76.278;Alexander FERRARI
144360;28;BELLOCQ;BENESSE LES DAX;17.682;Barbara RUIZ
231673;27;PUYBARBAN;SAVIGNAC;4.853;Marie NOWAK
228025;8;MOUFLERS;TERRAMESNIL;24.248;Alexander GARCIA
84881;18;PEYRUSSE LE ROC;VAUREILLES;6.809;Karin SMITH
295132;4;CHAMP LAURENT;LE PONTET;2.396;Angela MUÑOZ
99270;5;HAUTEVILLE SUR FIER;SERRIERES EN CHAUTAGNE;10.812;Francisco BAUER
215468;30;VERRIERES;CENON SUR VIENNE;39.966;Marta VOLKOVA
288806;26;LAGESSE;LEROUVILLE;133.911;Dmitriy DAVIES
149858;16;ILE D AIX;CLAVETTE;17.573;Denis PAVLOVA
180519;6;MEMENIL;FLOREMONT;32.395;Andrea VARGA
100586;11;ST FERREOL TRENTE PAS;EYROLES;3.118;Ekaterina LOPEZ
8497;9;MOUZILLON;GORGES;3.965;Nadezhda KOVALENKO
48244;4;ST FRANC;LES EPARRES;35.568;Tatyana IVANOV
170061;16;THEYS;CRETS EN BELLEDONNE;7.172;Christine PETROV
298106;20;MERIGNAC;MOSNAC;26.905;Laura JOHNSON
91021;21;ROUMENGOUX;LE MAS D AZIL;46.762;Barbara BONDARENKO
109688;2;PUGET SUR ARGENS;FREJUS;6.262;Andreas JIMENEZ
89936;2;ST MARTIN D URIAGE;VENON;4.29;Francisco KOVÁCS
160249;3;THEROUANNE;MENCAS;10.999;Richard JENSEN
271051;9;BUTRY SUR OISE;LE PLESSIER SUR BULLES;46.379;Oksana VARGA
260154;4;ST GENIS POUILLY;CROZET;5.224;Ekaterina KRAVCHENKO
65324;15;JANVILLE;CANTELOUP;4.285;Roman FERNANDEZ
27605;14;BONZEE;MANHEULLES;4.046;Yuliya EVANS
280189;6;CHAPELLE VIVIERS;GUERET;94.011;Marina SCHMID
277552;8;MONTREVEL EN BRESSE;CONDEISSIAT;19.193;Anastasiya SILVA
287654;24;ARCACHON;UZESTE;71.798;Tomasz ALVAREZ
24719;5;GRUN BORDAS;CREYSSE;21.581;Tatiana NOVIKOVA
60958;7;AUBAIS;JUNAS;2.666;Anna WILSON
250367;6;LOUBERS;FRAUSSEILLES;2.904;Nykolai ALVAREZ
239054;7;BIDESTROFF;RORBACH LES DIEUZE;4.11;Barbara SCHÄFER
221367;12;SENS;NOE;8.754;Mario SCHÄFER
63948;4;ST ARROMAN;ST LAURENT DE NESTE;8.226;Klaus SIMON
9787;21;BASSENS;STE FLORENCE;35.672;Natalya EVANS
196053;2;SALESCHES;MONTIGNY LE FRANC;62.408;Natalya KOVÁCS
184778;8;MONTAGNAC LA CREMPSE;ST ROBERT;66.576;Hans KRAVCHENKO
235043;7;ST PRIVAT DU FAU;RODELLE;75.737;Francesco MORENO
46325;17;MIRAMONT DE GUYENNE;SOUMENSAC;11.802;Serhei PEREIRA
237167;17;CEYZERIAT;CONDEISSIAT;18.413;Vera SANCHEZ
194616;9;LOISIN;NERNIER;8.96;Olha KRAVCHENKO
618;1;CHATELUS;ST ANTOINE L ABBAYE;20.159;Christine JOHNSON
1141;7;LE MEREVILLOIS;MAROLLES EN BEAUCE;10.727;Denis RICHTER
174216;26;BRIE;CORPS NUDS;3.754;Dmitriy COSTA
143117;1;LIXING LES ROUHLING;BENING LES ST AVOLD;11.273;Nikolay SCHÄFER
69477;19;FOURQUEVAUX;DEYME;7.406;Serhei KUZNETSOVA
79389;29;MONTMORT;YROUERRE;116.797;Vasylyi GUTIERREZ
143656;18;ST HILAIRE LE CHATEAU;ST PRIEST LIGOURE;61.829;Natalya VARGA
228302;19;ST AMANS;ORSANS;11.215;Aleksey ROSSI
162106;22;DOZULE;ANGERVILLE;2.153;Yuliya GOMEZ
48713;23;VAL D ERDRE AUXENCE;LOIREAUXENCE;10.98;Robert SMIRNOV
229239;10;VERT;LABRIT;5.18;Vladymyr MOROZOVA
14340;1;ST NICOLAS D ALIERMONT;NEUWILLER;529.932;Wolfgang MARIN
263106;22;GRAZAY;ST LOUP DU GAST;13.93;Mikhail WEBER
92390;26;BAGNEUX;MARCON;110.275;Giuseppe MEIER
85661;5;ENGLESQUEVILLE EN AUGE;HAUVILLE;45.275;Werner NOWAK
253816;14;L AIGUILLON SUR VIE;ST REVEREND;3.932;Vladymyr ROSSI
291579;9;LA HAUTE MAISON;AUMENANCOURT;94.895;Igor SHEVCHENKO
69360;27;LUGON ET L ILE DU CARNAY;VERNEUIL SUR INDRE;255.636;Juan SIMON
177111;18;SAUVIAC;CASTEX;12.128;Marie SIMON
68282;27;PARIS;VRAIGNES LES HORNOY;112.754;Piotr JIMENEZ
71803;11;ERBAJOLO;RIVENTOSA;5.008;Christian SHEVCHENKO
37553;7;VILLEFRANCHE DU QUEYRAN;ST MARTIN DE SESCAS;43.497;Yuliya WILLIAMS
177637;10;THIL;MONTANAY;13.435;Andrey BRAUN
236039;4;PILLEMOINE;MONT SUR MONNET;4.833;Vasylyi BONDARENKO
31162;7;THORAISE;ABERGEMENT LE GRAND;33.456;Lyubov KRAVCHENKO
79864;4;MAIZEROY;ARS LAQUENEXY;8.756;Mario MOROZOVA
26739;27;MINIAC MORVAN;PLOUER SUR RANCE;8.209;Nikolay BRAUN
28594;1;BELLIGNAT;IZERNORE;6.031;Mikhail KLEIN
162030;1;MORCENX LA NOUVELLE;CESTAS;78.804;Christine SMIRNOV
235376;27;CONNEZAC;FEUILLADE;9.982;Rosa MORENO
39389;11;PIOLENC;JAUNAC;87.817;Monika VASILEVA
64771;6;VERAC;BELIN BELIET;66.779;David BROWN
68059;20;YCHOUX;SAUGNAC ET MURET;8.985;Valentyna SCHÄFER
118725;24;ORMES;VINEUIL;50.957;Ana KOVÁCS
182885;11;QUINTENIC;SAUSSEY;91.912;Claude KOVÁCS
99662;4;ESPES UNDUREIN;VIELLENAVE DE NAVARRENX;9.664;Rosa RICHTER
81544;12;GAJAC;CASTELJALOUX;22.33;Karin GUTIERREZ
15287;10;GOUVIX;BONS TASSILLY;10.435;Anton EVANS
206839;22;FOUSSIGNAC;MERIGNAC;4.628;Rosa GONZALEZ
54172;23;SAIGNEVILLE;AVESNES EN VAL;33.146;Claude SMITH
51928;1;LANTOSQUE;ROQUEBILLIERE;6.342;Rosa ALVAREZ
190625;6;CIER DE RIVIERE;VALENTINE;6.963;Mária KUZNETSOVA
282943;24;BELLICOURT;REMERANGLES;88.381;Martin NAVARRO
144688;19;FLOIRAC;ST GERMAIN DU PUCH;14.881;Nykolai MORENO
214201;2;ALRANCE;LA TIEULE;47.502;Claude IVANOVA
147646;6;FLORAC TROIS RIVIERES;ST JUST ET VACQUIERES;55.796;Yvan SANTOS
53591;17;ST TRIVIER SUR MOIGNANS;STE OLIVE;5.968;Andreas WOLF
60524;2;LONGEVES;ANGLIERS;4.025;Marie MUÑOZ
89003;12;ST HILAIRE DE BRENS;ST SAVIN;6.048;Vera PETROVA
226892;5;TEURTHEVILLE BOCAGE;OCTEVILLE L AVENEL;5.498;Mariya SHEVCHENKO
274645;11;PLAISANCE DU TOUCH;PUJAUDRAN;9.887;Anna KOVÁCS
128025;8;BOURGUIGNON SOUS COUCY;PIERREMANDE;7.93;Tatyana HUBER
100790;2;LOURDIOS ICHERE;MOUMOUR;18.792;Angela MUÑOZ
12865;30;ST JEAN POUTGE;CAILLAVET;4.769;Tatiana TORRES
299646;6;COURMAS;TOURS SUR MARNE;21.864;Evgeniy DIAZ
115748;3;DURRENENTZEN;DESSENHEIM;13.593;Elisabeth POPOV
69436;13;LESSARD ET LE CHENE;BANNEVILLE LA CAMPAGNE;28.025;Marta ROBERTS
198317;16;ST THIBAULT;PAYNS;23.999;Alexander MOROZOVA
178388;22;BETCAVE AGUIN;ARRENS MARSOUS;97.081;Robert SCHNEIDER
198338;9;CARS;ST GIRONS D AIGUEVIVES;6.536;Peter SOKOLOVA
26813;15;THOU;VILLABON;35.643;Maksim SCHMID
134633;33;PONT DE L ISERE;BARBIERES;23.66;Petra GUTIERREZ
216995;13;NEUFMESNIL;TAILLEPIED;7.079;Francisco RODRIGUEZ
113617;25;ANSACQ;BERTHECOURT;10.271;Ekaterina LOPEZ
178335;4;ST VIAUD;LE TEMPLE DE BRETAGNE;17.751;Oksana WOLF
196647;1;UCHAUD;VESTRIC ET CANDIAC;2.554;Giovanni ALVAREZ
120586;13;ST GEORGES;AVRICOURT;8.572;Peter SCHMID
181559;30;CORGOLOIN;VILLERS LA FAYE;4.909;Anastasiya MORENO
137534;17;ST SENOCH;CLERMONT D EXCIDEUIL;188.441;Alina TÓTH
92968;20;EYGURANDE ET GARDEDEUIL;GOUT ROSSIGNOL;43.709;Sandra JOHANSSON
94397;34;LE PLAN;ST FERREOL DE COMMINGES;36.659;Lyubov SIMON
49445;19;LE BORN;LAVILLATTE;35.542;Anne SCHÄFER
151096;25;ST GEORGES DES GROSEILLERS;LA LANDE PATRY;2.762;Werner JIMENEZ
236101;8;CHAVANNAZ;MUSIEGES;6.087;Tatyana MARTINEZ
29558;5;LE LAUZET UBAYE;LA CONDAMINE CHATELARD;22.276;Irina SCHÄFER
134537;29;TOURVILLE EN AUGE;GOMMERVILLE;28.492;Thomas THOMAS
114956;6;ROUFFIGNAC;CARDAN;73.566;Monika WOLF
208343;10;WINTERSBOURG;HILBESHEIM;6.709;Giuseppe VASILEVA
270024;22;EVIN MALMAISON;CAMPHIN EN CAREMBAULT;8.843;Paul ROMERO
87367;18;ROCHES;IGE;90.464;Petra SANTOS
264825;23;VANY;VRY;9.414;Sergey NAGY
76432;16;BERNIERES D AILLY;LA BELLIERE;36.823;Elena PAVLOVA
238250;15;VILLETON;LAUZUN;34.046;Mario MILLER
186829;5;VERNEUIL;PREPORCHE;22.974;Richard PAVLOVA
296250;2;LEROUVILLE;ERNEVILLE AUX BOIS;9.849;Marta HOFFMANN
145398;6;ST JEAN DU GARD;BARRE DES CEVENNES;23.262;Tomasz SMIRNOV
240714;22;BLAGNY;CARIGNAN;2.558;Daniel TAYLOR
38071;11;MONTAGNAC;AUMES;3.506;Nikolay KLEIN
201399;19;ST MARCEL DU PERIGORD;MOULEYDIER;9.235;Petra KRAVCHENKO
15907;11;LE PLESSIS PATE;GRANGERMONT;47.096;Klaus KARLSSON
266671;15;BREVAINVILLE;ROMILLY;18.169;Denis SCHULZ
216269;15;LANNUX;ST PERDON;39.287;Laura FERREIRA
8523;2;FONTCOUVERTE LA TOUSSUIRE;ST COLOMBAN DES VILLARDS;10.294;Maksim BROWN
69577;2;POUSSANGES;MAGNAT L ETRANGE;4.386;Robert MÜLLER
27111;9;ST MAIGRIN;ST GIRONS D AIGUEVIVES;36.211;Michael JOHANSSON
85834;1;WOLFGANTZEN;STE BARBE;68.544;Oksana RODRIGUEZ
1163;14;ST AULAYE PUYMANGOU;MEDILLAC;9.22;Tomasz SCHMID
118133;22;FAVIERES;VILLENEUVE ST DENIS;4.101;Alina KOCH
51954;8;EAUNES;LUX;34.172;Michael PETROV
270242;36;TRELAZE;VENDAYS MONTALIVET;239.933;David DAVIES
232188;2;ROSNAY;L HERMENAULT;30.849;Claude IVANOVA
137061;21;SEMOINE;VAUCIENNES;44.799;Giuseppe WEBER
271787;2;COATREVEN;TONQUEDEC;11.174;Mikhail TÓTH
